index,text,label,agreement,num_votes,sample_set,0_arg0,0_arg1,0_sig0,0_sig1,0_sig2,1_arg0,1_arg1,1_sig0,1_sig1,1_sig2,2_arg0,2_arg1,2_sig0,2_sig1,2_sig2,3_arg0,3_arg1,3_sig0,3_sig1,3_sig2
train_06_110,"Four jawans were also injured in the encounter but they were all out of danger , police said .",0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_05_286,"Soon after he addressed the gathering , District Collector B. Janardhan Reddy arrived at the venue and received the memorandum from him and promised to forward it to the State government .",0,0.5,2,train_05,,,,,,,,,,,,,,,,,,,,
train_01_68,"April 09 , 2006 00:00 IST Senior officers reportedly trying to sort out issue VISAKHAPATNAM : The Police Stadium , which also houses the headquarters of the City Armed Reserve located , witnessed a rare incident of a constable and a Sub-Inspector staging a silent protest .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_08_279,"The bus stop walls were soon covered with posters , many of them exhorting people to "" continue the struggle against patriarchy so that every woman can live a life free of violence "" .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_02_162,""" People shouted out things , which were so provoking we were very worried [ the man ] would jump in many instances , "" Cheung said .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_09_A_159,"A section of people resorted to road blockade , but the timely intervention of Central Armed Police Force ( CAPF ) defused the situation .",0,0.666666667,3,train_09,,,,,,,,,,,,,,,,,,,,
train_03_20,"B.V. Kakkillaya , former MLA and a senior party leader and freedom fighter , who addressed the gathering , said the Government should release the student , along with his father , Linganna Malekudiya , immediately and ensure that his education was continued .",0,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_02_324,"Derby Lewis , who died in a Pretoria hospital aged 80 on Thursday , was the mastermind behind the assassination of anti-apartheid struggle hero Chris Hani .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_09_B_144,Hundreds of Economic Freedom Fighters supporters sang and danced ahead of the party 's election campaign event at the Sinaba stadium in Daveyton on Sunday .,0,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_03_34,""" The Maoists stopped a bus and identified five jawans of the Chhattisgarh Armed Forces ( CAF ) ( the state armed police ) and took them away , "" Inspector General of Police ( Bastar ) TJ Longkumer told reporters .",0,0.666666667,3,train_03,,,,,,,,,,,,,,,,,,,,
train_05_53,"`` Free Napoleon and six others now , '' read one placard and another read : `` Stop police brutality '' .",0,0.5,2,train_05,,,,,,,,,,,,,,,,,,,,
train_01_125,Modi visited the homes of all the six victims of the serial blasts which rocked Patna ’ s Gandhi Maidan and other parts of the city during his visit to address the Hunkar Rally on October 27 .,0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_07_212,"The organisers then signed a petition demanding strict legal action against the accused which would be sent to the Delhi CM , PM , and Home Minister .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_09_A_154,"Congress rule marked by various ills : Naveen 12th April 2009 04:18 AM SAMBALPUR : On a whirlwind tour to districts of Sambalpur , Deogarh and Chendipada besides Bargarh district Chief Minister Naveen Patnaik looked confident even as he addressed a huge gathering in a mixture of Hindi and Oriya .",0,1,3,train_09,,,,,,,,,,,,,,,,,,,,
train_08_102,"TAMIL NADU TNGEA members stage demonstration April 29 , 2010 00:00 IST Staff Reporter Tirupur : The Tamil Nadu Government Employees Association ( TNGEA ) members staged a demonstration in front of the Collectorate on Tuesday evening asking the government to scrap the contributory pension scheme , among other demands .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_06_151,`` After some discussion between police and community members they began throwing stones .,0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_02_293,"After the police doused the crowd in pepper spray and tear gas , tens of thousands of residents joined the action .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_263,District Collector Gaurav Dwivedi and Superintendent of Police M.S. Tomar rushed to the spot and asked the labourers to withdraw the strike .,1,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_07_307,"While the spark for the current wave of protests was an attempt by chief executive Carrie Lam to pass the Beijing-backed extradition law , the demonstrations have morphed into a wider movement against Lam ’ s administration and Beijing .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_01_136,"Led by A Sagayamadha , an office-bearer of the All India Farm Workers Association , the villagers , including a large number of women from the panchayat comprising six villages , staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them .",1,1,3,train_01,,,,,,,,,,,,,,,,,,,,
train_03_149,The threat came just two days after Ramajayam ’ s murder .,0,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_08_208,The resumption of lectures at NMMU on Wednesday were marred by disruptions as running battles between police and protesters continued .,1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_08_93,"Protesters surrounded the police headquarters chanting : “ Black police ” – a reference to the triads , known in Chinese as “ black societies ” .",0,0.5,2,train_08,,,,,,,,,,,,,,,,,,,,
train_07_170,"We must say that we were shocked and scared that 20 years into democracy when black children march for their right to education , they can be stopped by violent police , intimidated and told that they are disrupting business in town .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_03_5,"In Bhaderwah and Thathri , protestors took out a march and burnt tyres demanding arrest of the culprits and punishment to them .",1,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_03_122,"KRISHNAGIRI / DHARMAPURI : Water supply disrupted , villagers block road September 04 , 2014 00:00 IST Officials promise to supply water in tankers Women took to streets carrying pots in protest against erratic supply of drinking water at Kelamagalam in Udhanapalli on Wednesday .",1,0.666666667,3,train_03,,,,,,,,,,,,,,,,,,,,
train_04_88,"While the Dalits firmly state that a mob of their erstwhile Vanniyar friends entered the Dalit area after disconnecting the power supply , and hurled petrol bombs at their temple car and torched eight houses , the Vanniyars claim they were not involved in the attack .",0,1,3,train_04,,,,,,,,,,,,,,,,,,,,
train_07_133,"That apparent calm was shattered in late December , when security forces shot four militants who allegedly attempted to blow up a Communist party building in southern Xinjiang .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_05_231,""" I had to walk half the distance after some people forcibly stopped the auto I was travelling in , "" said a commuter .",1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_03_230,"Tension on ; Outstation Students Seek Shifting Out of NIT 07th April 2016 12:37 AM Students of Jammu University shout slogans during a protest rally against the police action on non-Kashmiri students in NIT Srinagar in Jammu | PTI SRINAGAR : Tension prevailed at NIT here with outstation students today making a slew of demands , including shifting the institute out of Kashmir and action against the policemen involved in lathicharge yesterday , as an HRD team rushed here from Delhi to resolve the crisis being witnessed since last six days .",1,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_02_229,The report said that a crowd of men shouted obscenities at the women and asked them to undress .,0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_02_171,He expressed wonder at the fact that a mob of 500 people had gathered at the ` unearthly ' hour of 6 am on Tuesday .,0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_312,"The police said that around 50 armed ultras raided Kangurukunda village at Kalimela , about 40 km from here , early on Sunday and set off an explosion , destrying the panchayat office .",1,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_02_126,"At least one demonstrator was briefly detained when he unfolded a banner , witnesses said .",1,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_7,Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1,1,3,train_01,,,,,,,,,,,,,,,,,,,,
train_06_154,The unrest followed a march by residents last week to voice their dissatisfaction with the municipal manager .,1,1,2,train_06,,,,,,,,,,,,,,,,,,,,
train_09_B_4,"Last week , the Maoists killed an Assistant Estate Manager of the AP Forest Development Corporation at R.V. Nagaram in GK Veedhi mandal .",0,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_05_157,"PCC gives Rs 10 lakh EX gratia to SPO ’ s family 12th March 2009 03:09 AM HYDERABAD : Expressing sympathy to the family members of Special Police Officer ( SPO ) K Subrahmanyam Raju who died in the attack on Gandhi Bhavan by MRPS activists recently , Pradesh Congress Committee president D Srinivas today announced an ex gratia of Rs 10 lakh to the bereaved family .",1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_01_259,The stir intensified when women activists on Tuesday voiced their support for those women set to march towards Shani Shingnapur temple in Maharashtra to break the centuries old tradition of not allowing the feminine gender to enter the sanctum sanctorum .,1,1,3,train_01,,,,,,,,,,,,,,,,,,,,
train_04_203,"Anger about the policy among Han Chinese , by far the largest group among China 's 56 ethnic communities , has been exacerbated by the deaths of 192 people , mostly Han , in Xinjiang 's capital Urumqi , last week , and the injuries suffered by 1,680 people during clashes between the province 's Uygur Muslim minority and Han Chinese .",1,0.666666667,3,train_04,,,,,,,,,,,,,,,,,,,,
train_01_155,"However , when he was returning home in the night , Pradhan was intercepted again by them and killed .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_03_23,"On getting the news about Mr. Hazare breaking his fast , they too ended their dharna .",0,0.666666667,3,train_03,,,,,,,,,,,,,,,,,,,,
train_05_304,Attempts Karimnagar Staff Reporter adds : The district police foiled the attempts made by the TRS and pro-Telangana activists to proceed and participate in ‘ Million March ' in Hyderabad on Thursday with their arrests on various routes proceeding to the capital .,1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_05_64,"“ I don ’ t know whether this would work , but what other channels are there to make Carrie Lam listen to us ? ” said a male protester outside the legislative council building , who declined to be named .",0,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_02_201,"Referring to today 's Congress rally at the Ramlila Maidan here , he said Congress just wants to show they have "" some support "" in the country .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_07_48,"Police use tear gas to control communal clash at Mirzapur - Indian Express Express News Service , Express News Service : Ahmedabad , Tue Sep 15 2009 , 01:09 hrs The city police had to resort to tear gas shelling after a communal violence broke out near St Xavier 's High School in the Mirzapur area of Ahmedabad late on Sunday .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_02_305,"( Photo : Reuters ) MUMBAI ( Reuters ): State-run banks remained shut on Friday as a nationwide strike by their employees demanding higher wages and pensions entered the second day , hurting volumes in the currency and bond markets .",1,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_04_16,"Even as the workers were agitating , another employee doused himself with kerosene and attempted self-immolation .",0,0.666666667,3,train_04,,,,,,,,,,,,,,,,,,,,
train_06_237,The families of some of the other 1993 serial blasts convicts had also filed pardon petitions .,0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_05_95,"The number four shaft was closed on Tuesday night when violence erupted at a meeting attended by about 750 people , leading to the deaths .",1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_08_145,The teachers are well-versed in their subjects and have been more than four years of experience . ” Other teachers of the college expressed their concern about the issue but did not take part in the protests .,0,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_06_85,"Workers from the upstart Association of Mineworkers and Construction Union ( AMCU ) at the mine 's Thembelani shaft in Rustenburg have refused to come out since the 4am ( 0200 GMT ) shift started , according to George Tyobeka , an AMCU leader .",0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_01_253,"Former Minister P. Babumohan , who was in oblivion for long , suddenly turned up in Sangareddy and participated in the agitation held before the Collectorate .",0,1,3,train_01,,,,,,,,,,,,,,,,,,,,
train_05_298,Many schoolchildren were seen protesting along with their parents .,0,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_06_99,Service delivery protests turned violent over the weekend with sections of the N14 being blockaded .,1,1,2,train_06,,,,,,,,,,,,,,,,,,,,
train_02_122,"Party leaders said except for Gannavaram , Gudivada , Vijayawada East and Machilipatnam Assembly constituencies , relay hunger strikes were conducted in 12 Assembly constituencies .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_138,""" We have certainly reiterated our support and our commitment to India 's efforts to seek justice on behalf of the victims "" of the 26/11 attack , Assistant Secretary of State for South and Central Asian Affairs Nisha Desai Biswal told PTI when asked about the delay in bringing to justice the perpetrators of the 2008 terror attacks .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_08_17,Neither had the swamijis nor Mr. Kanta accepted the notices and the police personnel had pasted the notices on the doors of the religious math and at the venue where Mr. Kanta was on hunger strike .,0,0.5,2,train_08,,,,,,,,,,,,,,,,,,,,
train_06_315,"59 persons died in the Sabarmati express attack in Godhra on February 27 , 2002 while around 1,000 persons were killed in the resultant riots .",1,1,2,train_06,,,,,,,,,,,,,,,,,,,,
train_06_188,"On August 8 , about 15 armed goons beat me and my wife mercilessly at my home .",0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_01_230,"ANDHRA PRADESH Work in banks , insurance firms hit August 21 , 2008 00:00 IST Back to old days : A horse-drawn cart comes in handy for passengers as autos went off the road during the general strike in Kurnool on Wednesday .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_05_28,They started performing pujas in front of the police station and shouted Jai Sri Ram .,0,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_03_24,Battle continues in Poonch district 07th January 2009 01:41 PM Soldiers during the gun-battle with militants at Bhati Dhar forest in Poonch district of J & K .,0,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_02_20,"The row over possession of Satlok Ashram , headed by Rampal , took a violent turn on Sunday when police tried to stop Arya Pratinidhi Sabha activists from marching towards the Ashram .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_04_114,"Taxi strike in Tshwane off to a slow start ANA Reporter JOHANNESBURG , November 8 ( ANA ) - Commuters in Tshwane on Wednesday began posting updates on social media about the much-dreaded Taxi strike in the early hours .",0,1,2,train_04,,,,,,,,,,,,,,,,,,,,
train_05_312,"Several pro-Telangana activists were arrested in Choutuppal , Bhongir and Miryalguda , where the Telugu Desam Party extended support to the agitation .",0,0.5,2,train_05,,,,,,,,,,,,,,,,,,,,
train_05_170,"`` While the electoral commission had anticipated some disruptions to registration in areas due to community activism , it is saddened to note that in some instances protesters appear to have targeted the registration stations and threatened IEC officials , '' Moepya said at the time .",1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_05_292,"Pu , who took part in the Tiananmen pro-democracy protests in 1989 , was detained for "" picking quarrels and provoking trouble "" , a charge frequently used against activists .",1,1,2,train_05,,,,,,,,,,,,,,,,,,,,
train_09_B_91,"The CPI(M) leader said that while CPI(M) workers were the victims of RSS attacks at Thalassery and Malampuzha , the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress ) to target the CPI(M) as perpetrators of violence .",1,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_03_48,Mangalore Bishop Fr Aloysius Paul D ’ Souza said the Panel report had failed to ensure justice to Christians who were deeply hurt during the church attacks .,0,0.666666667,3,train_03,,,,,,,,,,,,,,,,,,,,
train_02_69,The members owing allegiance to TDP made an attempt to stall the proceedings of the meeting in protest against alleged delay in allotting lands to beneficiaries at Singannagudem under the weaker section housing scheme .,1,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_255,"Similar protests were held at Narsapur , Sadasivapet , Toguta and other places .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_06_181,Almost all the organisations associated with doctors and PG students have expressed their solidarity with the ongoing hunger strike .,0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_08_178,"Flag marches by the army , that was called in by the civil administration , was continuing across the violence-hit district for area domination and to instill confidence among the people , officials said .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_07_264,“ The JAC has decided to go on work to rule in any given month if the salaries were not paid on first day of that month .,1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_09_A_157,Later he left for Bhatli assembly segment in Bargarh district where he addressed a gathering at Bargarh and Attabira constituencies .,0,1,3,train_09,,,,,,,,,,,,,,,,,,,,
train_07_78,"It was a surcharged atmosphere as some lawyers went on an attacking spree without any provocation , identifying visual media personnel .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,
train_02_147,"On Sunday , a group of people belonging to the Bharwad community allegedly went on the rampage and damaged shops owned by Patels , who too retaliated .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_60,"“ Amid stone-throwing , some rounds were fired at the convoy going to Kupwara .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_08_238,Fasting Jagan denied mulakats 27th August 2013 11:23 AM The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest against state division continued on the second day on Monday .,1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_09_B_61,Mild tension The corporator had called for bandh of Madannapet and Saidabad areas on Monday .,0,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_08_291,Sources said that a group of militants hiding in the area saw the team while they were going beyond Watsar towards Simpthan and laid an ambush on the Chattroo-Simpthan road by blocking it with stones .,1,1,2,train_08,,,,,,,,,,,,,,,,,,,,
train_02_130,"One of them , a 24 - year-old , said : "" I hope this can be a good beginning for a dialogue between citizens and the government on major decisions . "" The rallies are seen as a sign of growing public awareness of environmental issues on the mainland and increasing courage in speaking out .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_01_30,The lorry owners ’ association was staging a protest by blocking the road near Ambedkar Circle .,1,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,
train_06_118,"Even as the strike has entered its seventh day on Sunday , the medicos warned of intensifying their stir if the government continues to give them a cold shoulder .",1,1,2,train_06,,,,,,,,,,,,,,,,,,,,
train_04_74,"Meanwhile , 10 other batches of policemen damaged public and private property in other places in the town .",0,0.666666667,3,train_04,,,,,,,,,,,,,,,,,,,,
train_04_163,"JAC convenor M. Kodandaram , Telangana Rashtra Samithi ( TRS ) legislators K. Tarakarama Rao , E. Rajender and Harishwar Reddy were among dozens of leaders arrested by the police for staging protests on the highway despite police not giving permission for the same .",1,1,3,train_04,,,,,,,,,,,,,,,,,,,,
train_04_322,"Truckers put govt on notice 08th January 2009 03:57 AM CHENNAI : With the national-level truckers ’ strike called by the All-India Motor Transport Congress ( AIMTC ) demanding immediate reduction of diesel prices entering the third day on Wednesday , representatives of the striking truckers have issued an ultimatum to the government to act before Thursday midnight to resolve the issue or face severe consequences .",1,1,3,train_04,,,,,,,,,,,,,,,,,,,,
train_06_139,"`` We simply do not have space for such a detrimental amount of pollution that is to come out from that coal-fired power station , '' the organisation 's project co-ordinator Tristen Taylor said at a protest against the mining company in Johannesburg .",0,0.5,2,train_06,,,,,,,,,,,,,,,,,,,,
train_04_227,"Shops and business establishments , educational institutions , banks and private offices remained closed in Morigaon district and parts of Nagaon and Kamrup ( East ) districts in response to the bandh from 5 AM called by the All Tiwa Students Union ( ATSU ) and three other organisations in support of their demands .",1,1,3,train_04,,,,,,,,,,,,,,,,,,,,
train_02_320,Modi on Sunday while addressing massive rally claimed that the Governor was acting at the behest of the Congress to destabilise his government .,1,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_07_3,"Cosatu members clashed with DA supporters as they made their way to the lawns of the Joburg ( formerly the Civic ) Theatre , 50 metres from the trade union federation 's office .",0,0.5,2,train_07,,,,,,,,,,,,,,,,,,,,
train_03_135,The fast of BJP leaders was inaugurated by NSS Taluk Union president Sangeeth Kumar .,0,1,3,train_03,,,,,,,,,,,,,,,,,,,,
train_09_B_35,"We have been together in each other 's hour of grief and joy , but to allege that I was a part of the crowd that incited them to raise anti-Sikh slogans is a preposterous and blatant lie .",1,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_02_285,"The men were the founders of the social movement Occupy Central with Love and Peace and were among nine pro-democracy campaigners convicted over their leadership in the “ umbrella movement ” rallies in Hong Kong in 2014 , which triggered a massive city-wide strike for democratic elections .",1,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,
train_09_A_97,Earlier on Monday angry residents barricaded streets with burning tyres and set fire to the councillor 's house in protest over poor service delivery .,1,1,2,train_09,,,,,,,,,,,,,,,,,,,,
train_02_158,"An employee who wished to remain unnamed also told Express that around seven management personnel inside the plant , including five foreign nationals , were forcibly prevented from leaving the plant all night by the protesters .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,
train_05_196,The African nationals had sustained minor injuries in the attack that took place in South Delhi 's Mehrauli area on Friday .,0,0.5,2,train_05,,,,,,,,,,,,,,,,,,,,
train_04_112,"Earlier , they staged a protest in front of the office of the Deputy Director of Sericulture here and took out a procession .",0,1,3,train_04,,,,,,,,,,,,,,,,,,,,
